property_damage,police_report_available,fraud_reported
NO,NO,Y
NO,YES,N
YES,NO,N
NO,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
YES,NO,N
YES,YES,Y
NO,NO,Y
YES,NO,N
NO,NO,Y
YES,NO,N
NO,NO,N
NO,NO,Y
NO,YES,Y
NO,YES,Y
NO,NO,N
YES,NO,N
NO,NO,N
YES,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
YES,YES,Y
YES,YES,N
NO,NO,N
YES,NO,Y
NO,YES,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
NO,YES,N
NO,NO,Y
NO,NO,N
YES,YES,Y
YES,NO,N
NO,NO,Y
YES,NO,N
NO,NO,N
YES,NO,N
YES,NO,Y
NO,YES,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,YES,N
NO,YES,N
YES,NO,Y
NO,NO,N
NO,NO,N
NO,YES,Y
NO,NO,N
YES,YES,N
YES,NO,N
YES,NO,Y
YES,NO,Y
NO,YES,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,Y
NO,YES,N
NO,NO,N
NO,YES,N
NO,NO,N
NO,YES,N
NO,YES,N
YES,NO,N
NO,NO,N
YES,YES,N
YES,NO,Y
NO,NO,Y
YES,NO,N
NO,YES,N
NO,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
NO,NO,N
YES,NO,N
NO,NO,N
NO,NO,Y
YES,NO,N
NO,NO,N
NO,NO,N
YES,YES,N
NO,YES,Y
NO,NO,N
NO,YES,Y
NO,YES,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
NO,NO,Y
YES,YES,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
NO,NO,N
YES,YES,N
YES,NO,N
YES,NO,Y
NO,NO,N
NO,YES,Y
NO,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
NO,YES,N
NO,NO,Y
NO,NO,N
NO,NO,Y
NO,NO,Y
YES,NO,N
NO,NO,N
NO,YES,N
YES,YES,N
NO,NO,Y
NO,NO,N
YES,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
YES,NO,N
YES,NO,N
YES,YES,N
NO,YES,N
YES,YES,Y
NO,NO,N
NO,NO,N
NO,YES,N
NO,YES,N
NO,YES,Y
NO,YES,Y
NO,NO,N
YES,YES,Y
NO,YES,N
YES,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,Y
NO,YES,N
YES,NO,N
NO,YES,N
YES,YES,Y
YES,YES,N
NO,YES,N
YES,NO,N
NO,YES,N
YES,NO,N
NO,YES,N
NO,YES,N
NO,NO,N
YES,NO,Y
NO,YES,N
NO,NO,N
NO,YES,N
NO,NO,Y
NO,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,N
NO,YES,N
YES,YES,N
YES,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
YES,YES,N
YES,NO,Y
NO,YES,N
NO,YES,N
NO,YES,N
NO,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,Y
NO,NO,Y
NO,YES,Y
YES,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
YES,NO,Y
NO,NO,N
NO,NO,N
YES,NO,Y
NO,NO,N
NO,NO,Y
NO,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
YES,NO,N
NO,NO,Y
NO,NO,N
YES,NO,Y
NO,YES,N
YES,NO,N
NO,NO,N
YES,NO,N
NO,NO,Y
NO,YES,Y
NO,NO,Y
NO,NO,Y
NO,NO,Y
YES,NO,N
YES,NO,N
NO,NO,N
NO,NO,Y
YES,YES,N
NO,NO,N
NO,NO,N
NO,NO,Y
YES,NO,N
YES,NO,Y
NO,YES,N
YES,NO,N
NO,YES,N
NO,NO,N
NO,NO,N
YES,YES,N
YES,NO,N
NO,YES,N
NO,NO,Y
YES,YES,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,N
YES,NO,N
NO,YES,N
NO,NO,Y
YES,YES,N
NO,NO,N
NO,YES,N
YES,NO,Y
NO,NO,Y
NO,NO,N
NO,NO,N
YES,YES,Y
NO,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,NO,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
YES,NO,N
NO,NO,Y
NO,YES,N
NO,NO,N
YES,NO,N
NO,YES,Y
NO,NO,Y
NO,NO,N
YES,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
YES,NO,Y
NO,NO,N
YES,YES,Y
YES,NO,Y
YES,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,YES,N
NO,NO,Y
YES,NO,N
NO,NO,N
NO,NO,N
YES,YES,N
NO,NO,Y
NO,YES,N
NO,NO,Y
YES,NO,Y
YES,NO,N
NO,NO,Y
YES,NO,N
YES,NO,Y
NO,NO,Y
YES,NO,N
NO,NO,Y
NO,NO,Y
YES,YES,Y
NO,NO,N
NO,NO,Y
NO,NO,N
NO,YES,N
NO,YES,N
NO,NO,N
NO,YES,N
YES,NO,N
NO,YES,N
NO,YES,N
NO,YES,N
NO,NO,N
NO,NO,N
NO,YES,N
YES,NO,N
YES,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,YES,Y
NO,YES,N
NO,YES,N
NO,YES,N
NO,NO,Y
NO,YES,N
NO,YES,Y
NO,NO,N
YES,NO,Y
NO,NO,N
NO,YES,N
NO,YES,N
YES,NO,N
YES,YES,N
NO,NO,N
YES,NO,Y
NO,YES,Y
NO,NO,Y
NO,NO,N
YES,NO,N
YES,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,NO,N
NO,NO,N
NO,YES,N
YES,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
YES,NO,N
YES,YES,N
NO,YES,N
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
NO,NO,N
YES,NO,N
NO,YES,N
NO,NO,Y
NO,NO,N
YES,NO,N
YES,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
NO,NO,N
NO,YES,N
NO,YES,N
YES,YES,N
NO,YES,N
NO,YES,N
YES,YES,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,N
NO,NO,N
NO,NO,Y
NO,NO,N
YES,NO,N
NO,NO,N
YES,YES,Y
NO,YES,N
YES,NO,N
NO,YES,N
YES,YES,N
NO,NO,Y
NO,YES,N
NO,NO,Y
YES,NO,N
YES,YES,N
NO,NO,N
NO,NO,N
YES,NO,N
NO,NO,N
YES,NO,N
YES,YES,N
NO,NO,N
YES,NO,Y
NO,NO,N
NO,NO,Y
NO,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
YES,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,YES,Y
NO,YES,N
YES,NO,N
YES,NO,N
YES,NO,N
NO,YES,Y
YES,YES,N
NO,YES,N
NO,NO,Y
YES,NO,N
NO,YES,N
YES,YES,N
NO,NO,N
NO,YES,N
NO,NO,Y
NO,NO,Y
NO,NO,N
NO,YES,N
YES,NO,N
NO,YES,N
NO,NO,N
YES,YES,N
NO,YES,N
YES,NO,Y
YES,NO,Y
YES,YES,N
YES,NO,N
NO,YES,N
YES,NO,N
YES,YES,N
YES,NO,N
NO,NO,N
NO,NO,Y
NO,YES,N
YES,YES,N
YES,NO,N
NO,YES,N
NO,NO,N
NO,YES,N
YES,NO,Y
NO,NO,N
NO,YES,Y
NO,YES,N
NO,YES,Y
NO,NO,Y
YES,NO,Y
NO,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,N
NO,NO,Y
YES,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,NO,Y
NO,YES,N
NO,NO,Y
NO,NO,N
NO,NO,N
NO,YES,N
YES,NO,N
YES,NO,N
NO,NO,N
NO,NO,N
NO,NO,N
YES,NO,Y
YES,NO,N
YES,YES,Y
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,YES,N
NO,YES,N
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
NO,YES,N
NO,YES,N
NO,NO,N
NO,NO,N
YES,NO,Y
NO,NO,Y
YES,NO,N
YES,YES,N
YES,YES,N
NO,NO,Y
NO,YES,N
NO,NO,Y
NO,NO,N
YES,NO,N
YES,YES,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
YES,NO,N
YES,NO,N
NO,NO,Y
NO,NO,N
YES,NO,Y
YES,NO,N
NO,NO,Y
NO,NO,N
NO,NO,Y
NO,NO,N
YES,NO,N
NO,YES,N
YES,YES,N
NO,YES,N
NO,YES,N
NO,NO,N
YES,YES,N
YES,YES,N
NO,NO,N
YES,NO,N
NO,NO,N
YES,YES,N
NO,YES,N
NO,NO,N
YES,NO,N
YES,NO,N
NO,YES,N
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,N
YES,NO,N
YES,NO,N
NO,NO,N
YES,YES,N
NO,NO,N
YES,YES,N
YES,NO,N
YES,NO,Y
NO,NO,N
NO,YES,Y
YES,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,YES,N
NO,NO,Y
NO,YES,Y
NO,NO,N
NO,NO,N
NO,YES,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,Y
NO,NO,N
NO,NO,N
NO,NO,Y
NO,NO,Y
NO,NO,N
NO,NO,N
NO,NO,N
NO,NO,Y
NO,YES,N
NO,NO,N
NO,YES,Y
YES,YES,N
NO,NO,N
NO,YES,Y
NO,YES,N
YES,NO,N
NO,NO,N
NO,NO,Y
NO,NO,Y
NO,NO,Y
NO,NO,N
YES,NO,Y
YES,NO,N
NO,NO,Y
NO,NO,N
NO,NO,Y
NO,YES,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,Y
YES,NO,N
YES,NO,N
NO,NO,N
NO,YES,N
NO,NO,N
